state,report_date,total_votes_p,total_votes_s,eday_p,eday_s
AL,2020-11-05,2290024,2286621,1989622,1986219
AK,2020-11-05,190970,190872,29753,29655
AZ,2020-11-05,2910053,2887025,238270,215242
AR,2020-11-05,1207680,1182551,285019,259890
CA,2020-11-05,12124310,,33767,
CO,2020-11-05,3089745,3070969,196350,177574
CT,2020-11-05,1726504,,1090504,
DC,2020-11-05,276895,,,
DE,2020-11-05,502344,489421,346085,333162
FL,2020-11-05,11043474,,1973713,
GA,2020-11-05,4917685,4874050,959796,916161
HI,2020-11-05,573854,,47629,
ID,2020-11-05,867226,858786,369357,360917
IL,2020-11-05,5258871,5229256,1460585,1430970
IN,2020-11-05,2930917,,1102747,
IA,2020-11-05,1683565,1667567,686595,670597
KS,2020-11-05,1315157,1311122,544833,540798
KY,2020-11-05,2102270,2100304,487034,485068
LA,2020-11-05,2147313,2070872,1161923,1085482
ME,2020-11-05,804877,802906,295967,293996
MD,2020-11-05,2204252,,,
MA,2020-11-05,3516913,3433427,1163968,1080482
MI,2020-11-05,5511547,5453665,2400133,2342251
MN,2020-11-05,3257033,3201741,1410365,1355073
MS,2020-11-05,1128700,1125744,897669,894713
MO,2020-11-05,3007744,,2179766,
MT,2020-11-05,599011,601052,49179,51220
NE,2020-11-05,925591,841839,415516,331764
NV,2020-11-05,1192557,,69587,
NH,2020-11-05,801524,792535,565690,556701
NJ,2020-11-05,2986744,2922662,,
NM,2020-11-05,917155,910561,139890,133296
NY,2020-11-05,6629286,,2885541,
NC,2020-11-05,5453915,5418710,875646,840441
ND,2020-11-05,358672,,86712,
OH,2020-11-05,5761250,,2349787,
OK,2020-11-05,1558627,1554312,1111576,1107261
OR,2020-11-05,2183086,2149770,27736,
PA,2020-11-05,6413526,,3909008,
RI,2020-11-05,500390,479634,195467,174711
SC,2020-11-05,2465857,2465513,1142166,1141822
SD,2020-11-05,422563,420173,206423,204033
TN,2020-11-05,3045479,2953027,764712,672260
TX,2020-11-05,11222158,11057767,1529079,1364688
UT,2020-11-05,1090603,,,
VT,2020-11-05,365443,,120346,
VA,2020-11-05,4332265,4275450,1588227,1531412
WA,2020-11-05,3537934,,,
WV,2020-11-05,785121,769677,390612,375168
WI,2020-11-05,3289421,,1364583,
WY,2020-11-05,274872,270681,143356,139165
