state,report_date,total_votes_p,total_votes_s,eday_p,eday_s
AL,2020-11-04,2177187,2173723,,
AK,2020-11-04,0,0,,
AZ,2020-11-04,2501295,2484685,,
AR,2020-11-04,1178313,1154200,,
CA,2020-11-04,10175525,,,
CO,2020-11-04,2844485,2829763,,
CT,2020-11-04,818378,,,
DC,2020-11-04,211737,,,
DE,2020-11-04,502343,489421,,
FL,2020-11-04,11017519,,,
GA,2020-11-04,4342844,4306115,,
HI,2020-11-04,0,,,
ID,2020-11-04,610483,551606,,
IL,2020-11-04,4811845,4789776,,
IN,2020-11-04,2506749,,,
IA,2020-11-04,1669036,1653394,,
KS,2020-11-04,1282029,1278376,,
KY,2020-11-04,2102270,2100304,,
LA,2020-11-04,2100291,2024731,,
ME,2020-11-04,634667,633158,,
MD,2020-11-04,2048107,,,
MA,2020-11-04,2932655,2864126,,
MI,2020-11-04,3314754,3257777,,
MN,2020-11-04,2805527,2758230,,
MS,2020-11-04,990999,988459,,
MO,2020-11-04,2904159,,,
MT,2020-11-04,370870,372344,,
NE,2020-11-04,801641,723586,,
NV,2020-11-04,47030,,,
NH,2020-11-04,620411,615911,,
NJ,2020-11-04,2879270,2817293,,
NM,2020-11-04,830187,824153,,
NY,2020-11-04,6339511,,,
NC,2020-11-04,5453943,5418689,,
ND,2020-11-04,340416,,,
OH,2020-11-04,5675793,,,
OK,2020-11-04,1557811,1553500,,
OR,2020-11-04,2003413,1974336,,
PA,2020-11-04,4600096,,,
RI,2020-11-04,327644,311336,,
SC,2020-11-04,1849219,1849362,,
SD,2020-11-04,339629,337762,,
TN,2020-11-04,3028960,2916634,,
TX,2020-11-04,10725708,10597475,,
UT,2020-11-04,992889,,,
VT,2020-11-04,353019,,,
VA,2020-11-04,3886377,3814876,,
WA,2020-11-04,3314705,,,
WV,2020-11-04,772987,757637,,
WI,2020-11-04,2697205,,,
WY,2020-11-04,246973,243489,,
