state,report_date,total_votes_p,total_votes_s,eday_p,eday_s
AL,2020-11-06,2290024,2286621,1989622,1986219
AK,2020-11-06,190970,190872,29753,29655
AZ,2020-11-06,3128268,3101885,456485,430102
AR,2020-11-06,1207936,1182731,285275,260070
CA,2020-11-06,12724913,,634370,
CO,2020-11-06,3152461,3132744,259066,239349
CT,2020-11-06,1768940,,1132940,
DC,2020-11-06,287776,,5054,
DE,2020-11-06,502344,489421,346085,333162
FL,2020-11-06,11043301,,1973540,
GA,2020-11-06,4960256,4915118,1002367,957229
HI,2020-11-06,573854,,47629,
ID,2020-11-06,867226,858786,369357,360917
IL,2020-11-06,5397171,5366458,1598885,1568172
IN,2020-11-06,3023827,,1195657,
IA,2020-11-06,1683385,1667516,686415,670546
KS,2020-11-06,1327639,1323750,557315,553426
KY,2020-11-06,2110923,2110159,495687,494923
LA,2020-11-06,2147313,2070872,1161923,1085482
ME,2020-11-06,813193,811280,304283,302370
MD,2020-11-06,2330705,,,
MA,2020-11-06,3529032,3446138,1176087,1093193
MI,2020-11-06,5519346,5461473,2407932,2350059
MN,2020-11-06,3268594,3212990,1421926,1366322
MS,2020-11-06,1133539,1130550,902508,899519
MO,2020-11-06,3007744,,2179766,
MT,2020-11-06,600680,602623,50848,52791
NE,2020-11-06,925591,841839,415516,331764
NV,2020-11-06,1260800,,137830,
NH,2020-11-06,801730,792741,565896,556907
NJ,2020-11-06,3329805,3256924,,
NM,2020-11-06,917155,910561,139890,133296
NY,2020-11-06,6632796,,2889051,
NC,2020-11-06,5453888,5418710,875619,840441
ND,2020-11-06,358672,,86712,
OH,2020-11-06,5761250,,2349787,
OK,2020-11-06,1558627,1554312,1111576,1107261
OR,2020-11-06,2281774,2246375,126424,91025
PA,2020-11-06,6686587,,4182069,
RI,2020-11-06,500390,479634,195467,174711
SC,2020-11-06,2501570,2501112,1177879,1177421
SD,2020-11-06,422576,420185,206436,204045
TN,2020-11-06,3045482,2952889,764715,672122
TX,2020-11-06,11230545,11066020,1537466,1372941
UT,2020-11-06,1168872,,44666,
VT,2020-11-06,365443,,120346,
VA,2020-11-06,4333984,4278518,1589946,1534480
WA,2020-11-06,3749531,,204242,
WV,2020-11-06,785121,769677,390612,375168
WI,2020-11-06,3289472,,1364634,
WY,2020-11-06,274872,270681,143356,139165
