state,report_date,source,mail_sent_req_2020,mail_accept_2020,mail_reject_2020,total_early_2020,in_person_2020,total_ballots_2016,total_early_2016
MA,10/29/2020,Communication from Massachusetts Secretary of State's office,1608508,1267294,0,2108337,,3378801,0
WA,10/28/2020,https://www.sos.wa.gov/elections/research/data-and-statistics.aspx,4868441,2759806,0,2759806,,3363440,3363440
CA,10/28/2020,https://docs.google.com/forms/d/e/1FAIpQLSfipraqZymaSWDDYjVkidhZ0fpvHGpLuALrX9FxSr0JKeIDGw/viewform,21887013,8478869,0,8478869,,14610509,0
OR,10/29/2020,https://sos.oregon.gov/voting/Pages/current-election.aspx,2949696,1695010,0,1695010,,2056310,2056310
WI,10/29/2020,https://elections.wi.gov/index.php/elections-voting/statistics,1425799,1165506,0,1642212,,2976150,0
ME,10/28/2020,https://www.maine.gov/sos/cec/elec/data/index.html,485872,417189,0,417189,,771892,0
MI,10/29/2020,Data provided by Michigan Secretary of State's office,3173228,2451292,1643,2451292,,4874619,0
NV,10/29/2020,https://www.nvsos.gov/sos/elections/voters/election-turnout-statistics,1797143,455486,0,872434,,1125429,0
NM,10/29/2020,Data Provided by New Mexico Department of State,384162,292066,0,667790,,804043,0
CO,10/28/2020,Data provided by Colorado Secretary of State's office,4111226,2059788,0,2082134,,2859216,2859216
WY,10/26/2020,Communication from Wyoming Secretary of State's Office,119927,101248,0,101248,,258788,0
KS,10/29/2020,Data provided by Kansas Secretary of State's office,506757,346489,0,567397,,1225667,0
NE,10/29/2020,Data provided by Nebraska Secretary of State's office,533240,435112,0,435112,,860573,0
OK,10/28/2020,https://twitter.com/OKelections/status/1321536874889052163,352377,231569,0,231569,,1452992,0
MO,10/27/2020,https://twitter.com/MissouriSOS/status/1321529439193366528,729600,628395,0,628395,,2025985,0
IL,10/29/2020,https://elections.il.gov/VotingAndRegistrationSystems/PreElectionCounts.aspx?MID=l0hlXuSrKL0%3d&T=637317257975604269,2350707,1397832,0,2784937,,5666118,0
IN,10/29/2020,Communication from Indiana Secretary of State's Office,577962,466383,0,1382285,,2807676,0
VT,10/29/2020,https://sos.vermont.gov/elections/election-info-resources/elections-results-data/,451934,236444,0,236444,,320467,0
AR,10/29/2020,Data provided by Arkansas Secretary of State's office,129653,103019,0,686133,,1137772,0
TX,10/28/2020,https://earlyvoting.texas-election.com/Elections/getElectionDetails.do,918467,918467,0,8525424,,8975000,0
